,Unnamed: 0_level_0_Unnamed: 0_level_1,Unnamed: 0_level_0_code,Informations personnelles_Age,Informations personnelles_Sexe,Informations personnelles_problèmes de santé,Informations personnelles_le travail à la maison,Informations personnelles_préscolaire,Informations personnelles_Travail,Informations personnelles_interne / externe,Information familiale_Qualification de la mère,Information familiale_ Qualification Du père,Information familiale_Profession de la mère,Information familiale_Profession du père,Information familiale_Divorcé,Information familiale_Mort,Information familiale_aide aux devoirs,Performance académique_Specialté,Performance académique_Nombre de répitition,Performance académique_Score primaire,Performance académique_Score collégial,Performance académique_Score actuel,Performance académique_score en mathématiques,Performance académique_ score en langue arabe,Performance académique_ score en première langue,Informations sur l'école et le lieu de résidence_Public / Privé,Informations sur l'école et le lieu de résidence_Zone,Informations sur l'école et le lieu de résidence_Nombre d'enseignants,Informations sur l'école et le lieu de résidence_Electricité,Informations sur l'école et le lieu de résidence_Eau,Informations sur l'école et le lieu de résidence_pc,Informations sur l'école et le lieu de résidence_Livres,Informations démographiques_État civil,Informations psychologiques_motivation,Informations psychologiques_Style d'apprentissage,انقطع | مثعثر دراسيا|جيد|_انقطع | مثعثر دراسيا|جيد|
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0,1.0,13.0,F,psychique,oui,non,non,interne,non,oui,sans profession,Fqih,non,non,non,collège,0.0,8.75,16.41,16.41,17.0,16.0,15.34,public,rurale,21.0,oui,oui,non,oui,célibataire,oui,Normal,انقطعت
2,1.0,2.0,18.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,oui,collège,2.0,6.45,4.75,4.75,5.0,7.0,6.0,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,انقطع
3,2.0,3.0,15.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,2.0,6.3,8.8,0.0,0.0,0.0,0.0,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,انقطع
4,3.0,4.0,14.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,5.23,2.71,0.0,0.0,0.0,0.0,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,انقطع
5,4.0,5.0,16.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,6.33,8.19,0.0,0.0,0.0,0.0,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,انقطع
6,5.0,6.0,15.0,M,Non,non,non,non,externe,non,Non,sans profession,Commerce,non,non,non,collège,1.0,5.54,6.65,0.0,0.0,0.0,0.0,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,انقطع
7,6.0,7.0,15.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,6.03,6.5,6.5,0.0,6.44,7.3,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
8,7.0,8.0,17.0,F,Oui,oui,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,2.0,5.95,6.31,6.31,5.33,4.75,4.72,public,rurale,21.0,oui,oui,non,oui,célibataire,oui,Normal,انقطعت
9,8.0,9.0,14.0,M,Non,non,non,non,interne,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,6.21,7.02,7.02,6.83,7.06,4.1,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
10,9.0,10.0,14.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,5.22,7.9,7.9,3.67,9.12,5.7,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
11,10.0,11.0,16.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,3.0,7.1,6.42,6.42,8.67,2.5,2.6,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
12,11.0,12.0,18.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,2.0,6.16,9.14,9.14,6.33,9.13,8.7,public,rurale,21.0,oui,oui,non,oui,célibataire,oui,Normal,متعثر
13,12.0,13.0,18.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,5.85,9.67,9.67,10.67,8.66,9.6,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
14,13.0,14.0,16.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,2.0,7.32,9.4,9.4,8.67,8.84,8.9,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
15,14.0,15.0,13.0,F,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,5.86,9.3,9.3,9.33,9.75,7.95,public,rurale,21.0,oui,oui,non,oui,célibataire,oui,Normal,متعثر
16,15.0,16.0,14.0,F,Non,oui,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,6.46,9.67,9.67,7.0,10.41,5.1,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
17,16.0,17.0,15.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,6.41,9.9,9.9,10.67,10.0,11.4,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
18,17.0,18.0,15.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,7.53,7.42,7.42,5.67,10.69,5.9,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
19,18.0,19.0,16.0,F,Non,non,non,non,interne,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,6.43,8.78,8.78,11.67,8.06,10.25,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
20,19.0,20.0,15.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,8.05,8.72,8.72,8.67,10.0,9.7,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
21,20.0,21.0,14.0,F,Non,oui,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,6.75,9.08,9.08,11.0,10.0,9.6,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
22,21.0,22.0,15.0,F,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,6.57,8.49,8.49,6.0,8.44,9.2,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
23,22.0,23.0,14.0,M,Non,non,non,non,interne,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,7.09,9.56,9.56,11.33,9.19,10.1,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
24,23.0,24.0,16.0,F,Non,oui,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,8.03,9.74,9.74,9.5,10.38,11.2,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
25,24.0,25.0,15.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,7.27,9.84,9.84,8.67,10.12,11.8,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
26,25.0,26.0,17.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,7.21,9.33,9.33,8.33,8.62,11.4,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
27,26.0,27.0,17.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,5.56,8.7,8.7,6.33,10.5,9.3,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
28,27.0,28.0,16.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,6.63,8.69,8.69,9.75,7.0,5.0,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
29,28.0,29.0,17.0,M,Non,non,non,non,interne,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,6.91,9.72,9.72,10.83,9.53,10.2,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
30,29.0,30.0,19.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,1.0,5.43,9.51,9.51,8.0,11.09,10.6,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
31,30.0,31.0,17.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,6.98,8.8,8.8,7.67,7.5,8.3,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
32,31.0,32.0,19.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,7.32,9.96,9.96,7.33,10.44,11.4,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
33,32.0,33.0,16.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,6.72,8.07,8.07,8.17,7.53,7.9,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
34,33.0,34.0,15.0,M,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,6.91,8.56,8.56,7.83,9.75,10.6,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
35,34.0,35.0,17.0,F,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,5.47,9.05,9.05,8.17,9.81,11.3,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
36,35.0,36.0,17.0,F,Non,non,non,non,externe,non,Non,sans profession,Agriculture,non,non,non,collège,0.0,5.42,8.85,5.85,6.67,10.88,9.7,public,rurale,21.0,oui,oui,non,oui,célibataire,non,Normal,متعثر
